,date,symbol,open,high,low,close,Volume USD,Volume BTC
2364,2021-07-31 00:00:00,BTC/USD,42196.27398595,42398.0,41051.0,41439.0,210873319.65242532,5088.76468188
2365,2021-08-01 00:00:00,BTC/USD,41440.0,42532.0,39493.0,39867.0,363392230.46821934,9115.11351414
2366,2021-08-02 00:00:00,BTC/USD,39873.0,40449.0,38716.0,39149.45625755,180828843.7030688,4618.93627624
2367,2021-08-03 00:00:00,BTC/USD,39154.0,39781.0,37663.0,38217.0,194045026.23901856,5077.45312921
2368,2021-08-04 00:00:00,BTC/USD,38219.0,39965.0,37519.81411605,39743.0,145967524.13418484,3672.78575181
2369,2021-08-05 00:00:00,BTC/USD,39738.0,41352.0,37318.0,40887.0,263105882.29888576,6434.95199694
2370,2021-08-06 00:00:00,BTC/USD,40890.0,43385.0,39900.0,42854.0,276878906.27148527,6460.98161832
2371,2021-08-07 00:00:00,BTC/USD,42853.0,44698.0,42380.0,44568.0,415465585.6190789,9322.06034866
2372,2021-08-08 00:00:00,BTC/USD,44569.0,45250.0,43300.0,43793.0,357602985.3672017,8165.75675033
2373,2021-08-09 00:00:00,BTC/USD,43782.46903142,46438.0,42790.0,46282.21851123,496271288.9514018,10722.72040786
2374,2021-08-10 00:00:00,BTC/USD,46280.02549592,46695.0,44635.0,45612.0,290337761.1682523,6365.38106569
2375,2021-08-11 00:00:00,BTC/USD,45611.0,46727.0,45341.0,45531.0,197088310.1958588,4328.6620148
2376,2021-08-12 00:00:00,BTC/USD,45530.0,46186.0,43786.0,44424.0,250766177.10398927,5644.83560922
2377,2021-08-13 00:00:00,BTC/USD,44413.0,47967.0,44266.0,47835.0,353429140.0464108,7388.50507048
2378,2021-08-14 00:00:00,BTC/USD,47836.0,48141.0,45935.0,47084.0,204903733.81402653,4351.87608984
2379,2021-08-15 00:00:00,BTC/USD,47084.0,47369.0,45471.0,47022.0,180157588.2397869,3831.34677895
2380,2021-08-16 00:00:00,BTC/USD,47023.0,48069.0,45689.0,45937.0,278391287.49902344,6060.28446566
2381,2021-08-17 00:00:00,BTC/USD,45932.90307576,47167.0,44441.0,44695.0,309880481.1072176,6933.22477027
2382,2021-08-18 00:00:00,BTC/USD,44692.0,46010.0,44266.0,44721.0,260162624.43073505,5817.45990543
2383,2021-08-19 00:00:00,BTC/USD,44721.0,47061.0,43992.0,46765.0,278977880.75709313,5965.52722671
2384,2021-08-20 00:00:00,BTC/USD,46766.0,49400.0,46647.0,49330.49713104,298208219.2902785,6045.10873868
2385,2021-08-21 00:00:00,BTC/USD,49333.0,49788.0,48219.0,48837.0,191537934.94826904,3921.98404792
2386,2021-08-22 00:00:00,BTC/USD,48835.0,49488.0,48075.0,49266.0,135297937.86804163,2746.27406057
2387,2021-08-23 00:00:00,BTC/USD,49267.0,50558.0,49055.0,49525.0,268511659.83852875,5421.73972415
2388,2021-08-24 00:00:00,BTC/USD,49523.0,49860.0,47555.0,47698.0,227641172.0092451,4772.55172144
2389,2021-08-25 00:00:00,BTC/USD,47696.45550645,49255.0,47142.96628448,48992.74927858,201795944.00424984,4118.89406036
2390,2021-08-26 00:00:00,BTC/USD,48992.29076835,49385.0,46310.0,46840.0,303469286.2353784,6478.84898026
2391,2021-08-27 00:00:00,BTC/USD,46836.0,49159.0,46363.0,49079.0,284448146.1037387,5795.72008606
2392,2021-08-28 00:00:00,BTC/USD,49079.0,49310.0,48385.91723403,48914.0,112540504.19094723,2300.78309259
2393,2021-08-29 00:00:00,BTC/USD,48913.9769579,49650.0,47760.0,48800.0,197435776.84584,4045.8150993
2394,2021-08-30 00:00:00,BTC/USD,48801.0,48924.66460268,46903.0,47004.84288151,193813518.60752988,4123.2670237
2395,2021-08-31 00:00:00,BTC/USD,47003.4670629,48244.0,46725.0,47157.0,202821841.81986904,4300.99119579
2396,2021-09-01 00:00:00,BTC/USD,47142.0,49139.0,46590.0,48823.0,278649676.29298705,5707.34441335
2397,2021-09-02 00:00:00,BTC/USD,48827.0,50365.0,48631.0,49274.0,244011192.285203,4952.12875523
2398,2021-09-03 00:00:00,BTC/USD,49273.73784718,51142.0,48332.0,50001.0,366715956.2969425,7334.17244249
2399,2021-09-04 00:00:00,BTC/USD,50001.0,50544.0,49401.0,49899.0,118198035.9808443,2368.7455857
2400,2021-09-05 00:00:00,BTC/USD,49899.0,51900.0,49470.0,51780.0,286815309.5043198,5539.11374091
2401,2021-09-06 00:00:00,BTC/USD,51779.0,52742.0,51050.0,52676.0,255117128.97256663,4843.13784214
2402,2021-09-07 00:00:00,BTC/USD,52672.0,52888.0,43220.0,46849.0,781733698.0267155,16686.2408595
2403,2021-09-08 00:00:00,BTC/USD,46854.0,47351.0,44472.0,46070.61738592,347971546.9647106,7553.00377353
2404,2021-09-09 00:00:00,BTC/USD,46054.0,47398.57959466,45546.0,46389.0,178757819.7867504,3853.4527536
2405,2021-09-10 00:00:00,BTC/USD,46396.0,47044.0,44155.0,44852.0,232367904.2106889,5180.77018217
2406,2021-09-11 00:00:00,BTC/USD,44851.0,45990.0,44750.0,45169.0,114952072.21918806,2544.93285703
2407,2021-09-12 00:00:00,BTC/USD,45169.7693418,46466.0,44774.17967564,46038.87431928,155980878.77438468,3388.02546936
2408,2021-09-13 00:00:00,BTC/USD,46039.0,46874.0,43444.0,44960.0,394127372.79368,8766.1782205
2409,2021-09-14 00:00:00,BTC/USD,44958.0,47238.51708787,44699.0,47152.0,166084443.68111232,3522.32023416
2410,2021-09-15 00:00:00,BTC/USD,47134.0,48444.0,46724.0,48137.0,191820976.5477283,3984.89678517
2411,2021-09-16 00:00:00,BTC/USD,48137.76809977,48530.0,47061.0,47782.0,172346432.9068031,3606.93216916
2412,2021-09-17 00:00:00,BTC/USD,47782.0,48183.0,46771.0,47296.0,117868683.36820737,2492.14909016
2413,2021-09-18 00:00:00,BTC/USD,47296.15646179,48819.0,47066.0,48308.0,98879736.25672428,2046.86048391
2414,2021-09-19 00:00:00,BTC/USD,48319.0,48370.29414611,46837.0,47239.0,107581202.19179122,2277.38102398
2415,2021-09-20 00:00:00,BTC/USD,47244.0,47327.0,42567.0,43025.0,543257469.6790538,12626.55362415
2416,2021-09-21 00:00:00,BTC/USD,43025.0,43625.0,39678.0,40747.95941373,609586672.098684,14959.93126697
2417,2021-09-22 00:00:00,BTC/USD,40748.0,44000.0,40601.0,43574.0,367495242.015669,8433.81929627
2418,2021-09-23 00:00:00,BTC/USD,43575.0,45000.0,43102.0,44884.68321336,237288079.80306956,5286.6158969
2419,2021-09-24 00:00:00,BTC/USD,44893.0,45164.4867643,40755.0,42856.0,504097238.3439273,11762.58256356
2420,2021-09-25 00:00:00,BTC/USD,42861.0,42986.84667145,41728.0,42714.0,126452916.2256948,2960.4559682
2421,2021-09-26 00:00:00,BTC/USD,42714.0,43963.0,40800.0,43190.0,238642990.229707,5525.4223253
2422,2021-09-27 00:00:00,BTC/USD,43188.0,44355.99143738,42135.0,42181.0,179876054.8643516,4264.38573918
2423,2021-09-28 00:00:00,BTC/USD,42181.0,42777.0,40928.0,41064.0,253092960.70557168,6163.37815862
2424,2021-09-29 00:00:00,BTC/USD,41046.0,42606.0,40804.0,41530.0,182270090.3298969,4388.87768673
2425,2021-09-30 00:00:00,BTC/USD,41539.0,44122.0,41432.0,43830.0,222564882.3998526,5077.91198722
2426,2021-10-01 00:00:00,BTC/USD,43829.0,48464.0,43311.0,48151.0,400652918.75460696,8320.76008296
2427,2021-10-02 00:00:00,BTC/USD,48157.0,48350.0,47438.0,47649.0,98363985.21767308,2064.34521643
2428,2021-10-03 00:00:00,BTC/USD,47649.0,49196.0,47120.0,48242.0,173862948.96856022,3603.97473091
2429,2021-10-04 00:00:00,BTC/USD,48241.0,49503.0,46897.0,49252.0,304859583.7058834,6189.79094668
2430,2021-10-05 00:00:00,BTC/USD,49252.0,51922.0,49065.0,51508.0,344160670.1475096,6681.6935262
2431,2021-10-06 00:00:00,BTC/USD,51497.0,55743.0,50438.0,55335.0,582244349.9650859,10522.17131951
2432,2021-10-07 00:00:00,BTC/USD,55335.0,55349.0,53429.0,53797.03310738,266043091.3243945,4945.31158983
2433,2021-10-08 00:00:00,BTC/USD,53797.0,56000.0,53628.0,53947.0,295796270.8415449,5483.09027085
2434,2021-10-09 00:00:00,BTC/USD,53947.0,55475.0,53678.0,54968.0,134229574.51743078,2441.95849435
2435,2021-10-10 00:00:00,BTC/USD,54978.0,56450.0,54114.0,54691.0,319261461.0590996,5837.55025615
2436,2021-10-11 00:00:00,BTC/USD,54679.0,57821.0,54430.0,57489.0,432248022.1175192,7518.79528462
2437,2021-10-12 00:00:00,BTC/USD,57470.0,57661.0,53837.51997218,56009.0,332640175.4665103,5939.04864337
2438,2021-10-13 00:00:00,BTC/USD,56000.0,57775.0,54300.0,57368.0,175415053.20789263,3057.71602998
2439,2021-10-14 00:00:00,BTC/USD,57369.0,58488.0,56855.0,57354.0,263516961.685564,4594.56989374
2440,2021-10-15 00:00:00,BTC/USD,57352.0,62900.0,56881.0,61680.0,733022378.0818872,11884.27980029
2441,2021-10-16 00:00:00,BTC/USD,61686.0,62333.0,60171.0,60868.0,260688993.3424512,4282.8578784
2442,2021-10-17 00:00:00,BTC/USD,60867.0,61698.0,59019.0,61504.0,316342369.13703805,5143.44382702
2443,2021-10-18 00:00:00,BTC/USD,61508.0,62682.0,59883.0,61994.0,530689291.8578797,8560.33312672
2444,2021-10-19 00:00:00,BTC/USD,62007.0,64421.0,61368.0,64263.0,587843711.4687005,9147.46761696
2445,2021-10-20 00:00:00,BTC/USD,64263.93176072,66958.0,63535.0,66021.0,611462536.414632,9261.63700057
2446,2021-10-21 00:00:00,BTC/USD,66021.0,66643.0,61855.0,62219.4946565,832170423.0558827,13374.75380747
2447,2021-10-22 00:00:00,BTC/USD,62199.0,63729.0,60013.0,60706.0,385658320.01667887,6352.88637065
2448,2021-10-23 00:00:00,BTC/USD,60706.0,61764.0,59755.0,61302.0,166203400.1712003,2711.22312765
2449,2021-10-24 00:00:00,BTC/USD,61296.0,61476.0,59533.0,60847.0,175062085.55367187,2877.08655404
2450,2021-10-25 00:00:00,BTC/USD,60832.0,63666.0,60632.0,63100.0,234382150.619611,3714.45563581
2451,2021-10-26 00:00:00,BTC/USD,63100.0,63332.60744575,59766.0,60288.0,286318945.23876864,4749.18632628
2452,2021-10-27 00:00:00,BTC/USD,60285.0,61450.0,57950.0,58449.27880851,417086138.4194436,7135.86458074
2453,2021-10-28 00:00:00,BTC/USD,58438.0,62444.0,57606.0,60598.0,488766852.0841502,8065.72580092
2454,2021-10-29 00:00:00,BTC/USD,60579.0,62980.0,60188.0,62257.71552291,244304044.30301955,3924.07659438
2455,2021-10-30 00:00:00,BTC/USD,62264.0,62353.0,60755.0,61880.0,138656330.32036242,2240.72931998
